	cause	effect
213	negotiable_instrument,say-37.7-1,mix-22.1-2,future_having-13.3,appear-48.1.1	development,time_period,discussion,written_communication,activity,south,china,body_of_water,activity
214	attend,space,affair,china,association,collection,rest_day,nanning,assets,Guangxi,tai,location,escape-51.1-2-1	beijing,gregorian_calendar_month
215	china,detail,future_having-13.3,bring-11.3,govern,build-26.1-1	anticipation,political_unit,assertion,military_installation,choice
216	gathering,skilled_worker,china,association,associate,political_unit,build-26.1-1	statement,information,meeting
217	gathering,equivalent,Julie,priest,weekday,canberra,assets,build-26.1-1	statement,information,meeting
218	communication,time_period,decide,achieve	written_record,person,political_unit,expedition,south,china,body_of_water,insight
219	become,convert-26.6.2,situation,say-37.7-1	separating,line,line
220	japan,despair,say-37.7-1,<empty>,bring-11.3	japan,past,south,china,body_of_water,content,land,japan,natural_object,military_action,digit,legal_document,china
221	populate,location,urge-58,appear-48.1.1,run-51.3.2	philippines,duty,telephone,state,quality,person
222	populate,location,urge-58,characterize-29.2-1,characterize-29.2-1,appear-48.1.1,run-51.3.2	philippines,telephone,state,quality,person
223	populate,location,urge-58,characterize-29.2-1,characterize-29.2-1,appear-48.1.1,run-51.3.2	philippines,telephone,state,state,person
224	political_unit,curiosity,want-32.1	freedom
225	teresa,May,exchange-13.6,david,Cameron,clergyman	appoint
226	corporate_executive,Rodrigo,Duterte,bring-11.3,place_of_business,time_period	respond,questioning,temperature_change,relation,china,philippines
227	Duterte,bring-11.3,place_of_business	happening,point,concern,case,case,ripen
228	beijing,decision_making,gregorian_calendar_month,mediation,judgment,happening,bring-11.3-1,philippines,meet-36.3-1,appear-48.1.1	strain,south,china,body_of_water
229	precursor,Benigno,Aquino,digit,cocktail,relation,china,philippines,railroad_track,United,administrative_district,due_process,beijing,maritime,disagreement,south,china,body_of_water,build-26.1-1,put-9.1-2	statement,paper,washington,coalition,Duterte,activity,meeting,china,beijing,paper,neckwear,line
230	need,education,certainty,bring-11.3-1,quality,<empty>,engender-27,disappointment,may	
231	conversation,vote,race,exist-47.1-1	plan_of_action
232	activity,reallotment,vietnam,gregorian_calendar_month,become	time_unit,china,meeting,number,clergyman
233	polity,priesthood,Foreign,concern,content,message,china,self-government,curiosity,south,china,body_of_water,grant,mediation,assembly,appear-48.1.1	speech_act
234	commerce,transaction,appear-48.1.1,phenomenon,extremity,time_period,exist-47.1-1,<empty>	quality,oman,china,australia,neckwear,sewing,force
235	maneuver,inquiry,future_having-13.3,contribute-13.2-2	Hong,Kong,practice,skilled_worker,announce,weekday,conveyance,seize,time_period
236	<empty>,other_cos-45.4,give-13.1-1	spacing
237	judgment,U.	
238	Tillerson,mcmaster,influence,escape-51.1-1,Mattis,line	
239	time_period,organic_process,natural_object,advantage,united_states,characterize-29.2-1,convert-26.6.2,china,<empty>,suit,decrease,natural_object	
240	political_unit,characterize-29.2-1-1,time_period,shame,consequence,controlled_substance,military_action,clue,message,targeting,west,japan	
241	china,convert-26.6.2,power,location,japan,inclined_plane,activity,amalgamate-22.2-3,china,content,tape-22.4,contribute-13.2-1	china,phenomenon,disagreement,interest,state
242	military_action,south,U.	utterance,being,land
243	future_having-13.3,spatial_configuration-47.6,shade,china,united_states,abstraction,consider-29.9-2	
244	playing_card,inconstancy,belief,furniture,say-37.7-1,exist-47.1-1,<empty>,chase-51.6	metallic_element,questioning,washington,Tillerson,message
245	playing_card,inconstancy,belief,furniture,say-37.7-1,exist-47.1-1,<empty>,chase-51.6	metallic_element,washington,Tillerson,message
246	arab,arabian_peninsula,convert-26.6.2,appoint-29.1,unit,associate,division,unit,oust,mansion,group_action,run-51.3.2,appear-48.1.1	time_unit
247	china,future_having-13.3,approve-77,say-37.7-1,<empty>,consume-66	philippines,judgment,agreement,fragment,discussion
248	person,china,association,associate,administrative_district,assurance,quality,strain,south,china,body_of_water,other_cos-45.4,group_action	harbored,state,disappoint
249	playing_card,management,admit-65,taiwan,washington,rebalancing,asia,pacific,plan_of_action,<empty>	fear,finish,china,united_states
250	horrifying,information,limit,tokyo,declare,<empty>,act,group,defend,real_property,destroy-44	force,explosive_device,hiroshima,concern
251	person,legal_document	north,korea,binary_compound,electrical_device
252	victory,military_action,hanoi,adopt-93,position	
253	gathering,Wang,equivalent,association,associate,political_unit,china,association,reaffirm,activity,appoint-29.1,order,steadiness,property,certainty,south,china,body_of_water	message,content
254	concept,expectation,organization,engagement	message,justifying,power,philippines,happening,assembly,political_unit,curiosity,self-government,request,credibility,statement
255	time_period,improvement,institution,compete,enterprise,contestant,give-13.1-1,emergence,enlightenment,time_of_life	component
256	disturbance,unfriendliness,abstraction,propulsion,large_integer,life,improvement	time_period,canine,time_period,china
257	china,philippines,limit,agreement,admit-65,lodge-46,discussion,disagreement,south,china,body_of_water,effort,control,manual_labor,disagreement,music,action,act,may,perpetrate,<empty>,amuse-31.1	increase,pursue,maritime,group_action,improvement,disagreement,organic_process,abstraction,order,steadiness,south,china,body_of_water,location
258	action,place_of_business,playing_card,propose,U.	code,legislature
259	environmental_condition,time_period,resource,beijing,outgo,populate,give-13.1-1	region,school,municipality,natural_object,standing,document,merchandise,gregorian_calendar_month,person,activity,enterprise,assets,institution,Zhongguancun,school,part,region,point
260	meet-36.3-1,washington,obtain-13.5.2,U.	gregorian_calendar_month,Dai,Bingguo,evil,clergyman,china,organization,north,asian,meeting,north,korea
261	mediation,assembly,accomplishment,finding,activity,philippines,china,disagreement,involve,south,china,body_of_water,abstraction,group,hebei,administrative_district,artifact,movable_barrier,KFC,place_of_business,utterance,saying,name,china	gregorian_calendar_month
262	bring-11.3,place_of_business,gregorian_calendar_month,formation,message,vote,race,appoint-29.1	flower_arrangement,belief,playing_card,commerce,economic_policy
263	gathering	weekday,gathering,association,political_unit,respond,beginning,discussion,harmony,information,merchandise
264	cause,admire-31.2	time_period,abstraction,happening
265	disagreement,say-37.7-1,give-13.1-1,future_having-13.3,amuse-31.1	detail,south,china,body_of_water,state,Cayetano,region,china,relation,association
266	disagreement,say-37.7-1,give-13.1-1,future_having-13.3,amuse-31.1	detail,south,china,body_of_water,state,Cayetano,region,china,relation,association
267	natural_object,military_action,digit,confess-37.10,china,self-government,south,china,body_of_water	consequence,Cheng,amount,written_agreement,meeting,clue
268	natural_object,military_action,digit,confess-37.10,china,self-government,south,china,body_of_water	consequence,Cheng,amount,written_agreement,meeting,clue
269	content,boundary,admit-65,philippines,assertion,keep-15.2,say-37.7-1,say-37.7-1	mediation,south,china,body_of_water,assembly,philippines,deception,representation,UNCLOS
270	meet-36.3-1	happening,philippines,Macaranas,political_unit,curiosity,BRI,condition,orientation,orientation,group_action,word
271	share,abstraction	chemical_phenomenon,feature,china,united_states,abstraction
272	body_of_water,judgement-33,united_states,change_of_state,become,<empty>,exist-47.1-1	south,china,body_of_water,content,decision_making,australia
273	language,china,japan,written_agreement,order,relationship,region,education,abstraction	time_period,follow,social_control,neckwear
274	chart,person,meeting,land,time_period,<empty>,amuse-31.1,united_states,japan,<empty>,backfire,build-26.1-1,conjecture-29.5-1	discourse,Ramos,meeting,Hong,Kong
275	legal_document,supplier,being,plan_of_action,keep-15.2,say-37.7-1	production,activity,united_states,political_system,location,Krejci
276	legal_document,supplier,being,plan_of_action,keep-15.2	production,activity,united_states,political_system,location
277	curiosity,consider-29.9-2	expert,unrestraint,connect,natural_object,collection,institution,work,australia,golfer,operation,Ukraine－purportedly,soviet_union,linkage,hackers－which,united_states,skilled_worker,telephone,situation,script
278	tokyo,movement,meddle,meet-36.3-1,south,china,body_of_water,disagreement,china,association,associate,administrative_district,become	
279	Duterte,meeting,china,adult,corporate_executive,large_integer,Jinping,perceiver,language,group_action,transaction	action,activity,electric_motor,summary
280	marcher,asia,plan_of_action,try-61,amalgamate-22.2-1,china,appear-48.1.1,correspond-36.1-1	abstraction,person,Barack,Obama,united_states,corporate_executive,doubt,china,United,administrative_district
281	south,china,body_of_water,mediation,happening,bring-11.3-1,Duterte,precursor,Benigno,Aquino,digit,china,appear-48.1.1	case,china,philippines,neckwear
282	appear-48.1.1,playing_card,management,contradict,contribute-13.2-1	united_states,state,good_nature
283	<empty>,say-37.7-1,appear-48.1.1,appear-48.1.1	strain,assets
284	pentagon,leader,dramatic_composition,necessitate,united_states,force,run-51.3.2,south,china,body_of_water,say-37.7-1	acceptance,united_states,military_action,head,prosody,propulsion,south,china,body_of_water,disagreement,Foreign,priesthood,spokesperson,weekday
285	conjecture-29.5-1,china,placement,conform,belief	
286	time_period,physical_phenomenon,bring-11.3-1	heartening,south,china,body_of_water,content,line,talk,conference
287	china,build-26.1-1,future_having-13.3,united_states,orchestrate,commerce,military_action,future_having-13.3,conjecture-29.5-1,pocket-9.10,build-26.1-1,spray-9.7-1	united_states,economic_policy,challenge,united_states,swallowing,reproductive_structure,fruit
288	happening,interest,self-government	meeting
289	911attacks,causal_agent,north_korea,priesthood,Foreign,concern,build-26.1-1,message,operation,happening,prosody,world_organization,associate,administrative_district,north,korea,oppose,word,terror,position,future_having-13.3,exist-47.1-1	remark
290	agency,status,administrative_unit,decorativeness,investigation,act,representation,ability,movement,idea,writing,ability,administrative_district,body_part,cope-83-1-1,advise-37.9-1	idea,creator,judgment
291	help-72-1,build-26.1-1,amuse-31.1,disagreement,binary_compound	song,bare,pretense,united_states,state
292	statement,state,state,philippines,exist-47.1-1,united_states,being,location,military_action,statement,<empty>	information,united_states
293	Shinzo,Abe,management,denial,external_body_part,past,act,future_having-13.3	worsen,abstraction,beijing,tokyo
294	case,leave-51.2	region,state,communicate,vital_principle,pursue,group_action,payment
295	preparation,south,china,body_of_water,disagreement,become	duty
296	concept,mix-22.1-2	attraction,influence
297	china,group,accomplishment,military_service,celebrate,anniversary	japan,content,military_action,material,time_unit
298	natural_object,military_action,digit,commitment,order	japan,owe,improvement,time_period
299	Obama,management,rebalancing,asia,pacific,plan_of_action,preparation,THAAD,build-26.1-1,conjecture-29.5-1,tape-22.4,better,other_cos-45.4	japan,ROK,property
300	Foreign,clergyman,gathering,g7,countrie,meeting,order,recognition,depository	Foreign,clergyman,Fumio,Kishida,motion,urgency,meeting,socialism,instrumentality,area,hiroshima,japan,gregorian_calendar_month
301	gathering,action,participate,political_unit,admit-65,neglect-75-1-1	number,clergyman,Shinzo,Abe,activity,south,china,body_of_water,message,communication,asia,europe,gathering,mid,-,July
302	mediation,organization,want-32.1,cooperate-73-2,pocket-9.10,say-37.7-1,cooperate-73-2	mediation,region
303	run-51.3.2,discussion,fact,assembly,characterize-29.2-1,relation,difficulty	military_installation,happening,talk,discussion,talk
304	united_states,corporate_executive,Donald,playing_card,recommend,adult,negotiator,evaluator,south,china,body_of_water,disagreement,large_integer,Jinping,head,politician,organization,china,workplace,administrative_unit,equivalent,limit,agreement,managing,person,disagreement	time_unit
305	mediation,organization,want-32.1,cooperate-73-2,pocket-9.10,say-37.7-1,cooperate-73-2	Keyuan,Zou,harris,academician,socialism,collection,body,workplace,LancashireYou,mediation,region
306	acoustic_device,sound,psychological_feature,seoul,weekday,fit-54.3,force-59-1	Kim,Bok,vietnamese_monetary_unit,influence,bodily_process,person,army_unit,natural_object,military_action,digit,instrumentality
307	assuming,chair_of_state,give-13.1-1,meet-36.3-1	sovereign,Abdullah,arab,arabian_peninsula,china
308	north,korea,announce,future_having-13.3,indicate-78-1-1,rocket,ballistic_missile,supreme,office,appear-48.1.1	time_period,proceeding,Tillerson,Mattis,time_unit
309	north,korea,announce,future_having-13.3,indicate-78-1-1,rocket,ballistic_missile,supreme,office,appear-48.1.1	time_period,proceeding,Tillerson,Mattis,time_unit
310	gathering,say-37.7-1,<empty>,pull_off,say-37.7-1,involve	metallic_element,Abe,region,power,quality,japan,political_unit,south,china,body_of_water,disagreement,according,information,merchandise,region
311	force-59-1,canberra,meet-36.3-1,build-26.1-1,lecture-37.11-1-1	metallic_element,australia,weekday,rest_day,urgency,meeting,equivalent,Malcolm,Turnbull
312	assembly,build-26.1-1,govern,decide,content,amalgamate-22.2-2,self-government,grant,follow,activity,discussion,judgment,effort,activity,say-37.7-1,pocket-9.10,approve-77	Liu
313	time_period,abstraction,say-37.7-1,force-59-1	Liu,weekday,beijing,Duterte,position,occupation,work_time
314	skilled_worker,United,sphere,future_having-13.3,report,tube,location,force-59-1	metallic_element
315	violating,condition,profanity,action,social_control,action,profanity,contravening,profanity,build-26.1-1,originate,adopt-93,judgement-33,must,admit-65,contest,bring-11.3,build-26.1-1,must,bide,bring-11.3,build-26.1-1,contribute-13.2-1	representation,nonfiction,Hong,Kong,programming_language,lawin,actinic_radiation,support,Hong,Kong,freedom,associate,Legislative,administrative_unit,Hong,Kong,offer,Administrative,location,action,profanity,language_unit,legal_document,disrespect,political_unit,political_unit,disagreement,Legislative,administrative_unit,social_group,Hong,Kong,concept,agency,status,administrative_unit,effort,quality,confer,law,programming_language,collection,Hong,Kong,representation,nonfiction,programming_language,collection,Hong,Kong,offer,Administrative,location,production,condition,nonfiction,programming_language,collection,Hong,Kong,offer,Administrative,location,group,political_system,china,swear,cooperation,Hong,Kong,offer,Administrative,location,group,political_system,china,collection,profanity,prescribed,nonfiction,duty,fitness,change_of_location,nonfiction,activity,collection,profanity,position,phenomenon,fitness,action,position
316	linear_unit,australia,china,pocket-9.10,fulfilling-13.4.1,danger,political_unit,pocket-9.10,approve-77	china,danger,explanation,promotion,case,case,australia
317	natural_object,military_action,digit	ascribed,australia,doubt,china,political_unit,coalition,united_states,furnace
318	organization,quality,command,administrative_district,regular_payment,assets,medium_of_exchange,disconcert,political_unit	political_unit,participate,ISDS,hypothesis
319	happening,gregorian_calendar_month,united_states,secret_agent,heavier-than-air_craft,mid,-,air,person,airplane,Hainan,land,phenomenon,change,aviator	Maritime,studiesThe,princeton,phd,scholar,activity,united_states,Naval,military_action,body
320	legislature,appointment,proceeding,united_states,<empty>,cling-22.5,china,plan_of_action,uncover,say-37.7-1,lecture-37.11-1,answer	instrumentality,document,united_states,head,administrative_district,sovereign,Tillerson,questioning
321	aggression,united_states,japan,political_unit,south,china,body_of_water,location,want-32.1,accompany-51.7,amuse-31.1,authorize	effort,Zhao,china,standard
322	aggression,united_states,japan,political_unit,south,china,body_of_water,location,say-37.7-1,mix-22.1-2,want-32.1,accompany-51.7,amuse-31.1,authorize	effort,Zhao,china,standard
323	orientation,happening,self-government,disagreement,south,china,body_of_water,pocket-9.10,consume-66,decide	assert,United,political_unit,meeting,collection,body_of_water
324	china,must,other_cos-45.4,improvement,achieve,commitment,content,social_group,action,curiosity,abstraction,must,get_the_better_of	
325	extremity,natural_object,military_action	Nanhai,Zhudao,recognize,relation,china,region,gathering
326	experiment,experiment,propulsion,rocket,group,political_system,Korea(DPRK,Paal,activity,<empty>,build-26.1-1,restart,conversation,inquire-37.1.2,appear-48.1.1	condition,word,orientation,land,statement,china,united_states,group_action,contain,strain,land
327	future_having-13.3,power,cardinal_compass_point,asia,amalgamate-22.2-3	quality,beginning,commerce,topographic_point,china,japan,political_system,korea
328	north,korea,recognize,condition,china,group_action,<empty>,detail,person,belief,<empty>,say-37.7-1	china,message,talk
329	institution,contribute-13.2-1-1,use,Foreign,finance,appraisal,committee,australia,detail,feeling	region,leader,clergyman,adam,Giles,disapproval,goal,indoctrination,emotion,inhabitant,china
330	plan_of_action,assets,say-37.7-1,line,consider-29.9-2,armored_vehicle,conference,south,china,body_of_water,keep-15.2,singapore	
331	mail,feeling,greeting,organization,polity,group,say-37.7-1	administrative_district,meeting,vietnam
332	opening,inhabitant,organization,United,sphere,seize,possibility,pocket-9.10,washington,publication	sense_organ,united_states,wrinkle
333	strain,land,necessitate,continue-55.3,admire-31.2	china,excavation,land,order,production,activity,restore,group_action,north_korea
334	October,’s,content,build-26.1-1,New,time_period,pocket-9.10,achieve	
335	tokyo,urgency,beijing,approve-77,weekday,judgment,mediation,happening,south,china,body_of_water,disagreement,originate,philippines,build-26.1-1,lecture-37.11-1-1	person,written_record,metallic_element
336	time_period,confusion,chase-51.6,paper,ceremony,happening,advantage,judgment,Arbitral,assembly,Hague,say-37.7-1	person,south,china,body_of_water,state,line
337	time_period,confusion,chase-51.6,paper,ceremony,happening,advantage,judgment,assembly,Hague,say-37.7-1	person,south,china,body_of_water,state,line
338	escape-51.1-1,person,building,future_having-13.3	value,playing_card,language_unit,legal_document
339	traveler,permission,boundary,force,permission,power,hyperpigmentation,male_offspring,Nhat,socialism,airfield,lecture-37.11-1	communication,traveler,permission,leaf
340	person,legislature,politician,organization,china,speech_act,possibility,china,united_states,metallic_element,quality,force,group_action,force,<empty>,compartment,conflict,commerce,content,future_having-13.3,build-26.1-1,contiguous_location-47.8	political_unit,political_unit,property,playing_card,meeting,china,administrative_district,meeting,political_unit
341	united_states,military_vehicle,escape-51.1-1,binary_compound,land,ridge,south,china,body_of_water,advise-37.9-1	weekday,priesthood,person,military_action,mail,anger,content
342	time_period,organic_process,cause,admit-65,choice,production,activity,activity	extremity,japan,system,fight,effort
343	migration,skilled_worker,extremity,hyperpigmentation,male_offspring,Nhat,socialism,airfield,metallic_element,energy,Minh,municipality,declare-29.4-1-1-2	weekday,adult,name,Zhong,guangzhou,guangdong,administrative_district,language_unit,permission
344	vote,place_of_business,corporate_executive,may,indicate-78,plan_of_action,idea,management,try-61,adopt-93	extremity,periodic_event,feeling
345	future_having-13.3,side,want-32.1,escalate,strain,south,china,body_of_water,future_having-13.3,fit-54.3	content,concept,measuring_instrument,china,united_states,abstraction,advantage,group_action
346	transaction,section	earth_science
347	keep-15.2	china,maintaining,quality,curiosity,participate,administrative_district
348	south,china,body_of_water,mediation,happening	philippines,U,-,turn,china
349	gathering,associate,china,activity	Phuc,external_body_part,Hong,Kong,gregorian_calendar_month
350	attend,space,affair,china,association,collection,rest_day,nanning,assets,Guangxi,tai,location,escape-51.1-2-1	Phuc,beijing,weekday
351	activity,reallotment,vietnam,gregorian_calendar_month	Phuc,strip,organization,associate,beijing,time_unit,journey,china,number,clergyman
352	activity,reallotment,vietnam,gregorian_calendar_month	Phuc,strip,organization,associate,beijing,time_unit,journey,china,number,clergyman
353	gathering,associate,china,activity,Liu,say-37.7-1,future_having-13.3,contiguous_location-47.8	Phuc,Hong,Kong,weekday
354	activity,ASEM,chemical_process,person,attend,degree,visual_communication,education,group_action,time_period,message,interconnectivity	cooperationtwenty,time_period
355	china,furniture,bring-11.3,place_of_business,gregorian_calendar_month	head_of_state,metallic_element,Keqiang,meeting,indonesia,journey
356	future_having-13.3,other_cos-45.4,equilibrium,cardinal_compass_point,asia,kindness,United,administrative_district,appear-48.1.1,approve-77,future_having-13.3,deploy,amalgamate-22.2-3	objection,spiny-finned_fish,abstraction,enterprise,rock,south,korea,scheme,real_property,chemical_phenomenon,Skyhill,outdoor_game,education,Seongju,united_states,station,degree,elevation,region,military_action,instrumentality,decision,china
357	corporate_executive,appoint,diplomat,china,put-9.1-2,<empty>,premise,say-37.7-1	judgment,south,china,body_of_water,conversation,china,philippines,person
358	PZ,disagreement,south,china,body_of_water	Sino,-Vietnamese
359	arab,arabian_peninsula,corporal_punishment,clergyman,flash,operation,position,iran,decision,conjecture-29.5-2,commonality,sphere	qatar,propulsion,diplomat,time_period
360	conversation,consider-29.9-2	Ramos,athletic_contest,Hong,Kong,Fu,Ying,concern,leader,china,assembly,chinese,Shicun,corporate_executive,china,person,association,south,china,body_of_water,examination,armored_vehicle,according,message,merchandise
361	gregorian_calendar_month,judgment,Hague,military_installation,mediation,assembly,happening,bring-11.3-1,philippines,content,detail,disagreement,china,south,china,body_of_water,appear-48.1.1	richardson,meeting,china,time_unit
362	quality,politician,admire-31.2,indicate-78	Roy,united_states,plan_of_action,management
363	G20,summit,china,amalgamate-22.2-3,say-37.7-1	soviet_union,activity,china,position,south,china,body_of_water,content,organization,foreign_policy,putin,information,meeting
364	resonate,failure,political_orientation,declare-29.4-1-1	power_tool,political_orientation
365	south,china,body_of_water,mediation,case,steadiness,binary_compound,<empty>,build-26.1-1	china,concrete,action
366	marcher,plan_of_action,military_installation,idea,cardinal_compass_point,asia,emerge,area,natural_object,<empty>,indicate-78-1	united_states,plan_of_action
367	transmission,discussion,appear-48.1.1,mediation,disagreement,body,chemical_process,meeting,china,philippines,discussion,activity,assembly,Liu,say-37.7-1	
368	thinking,decide,approve-77,U.,confine-92-1,<empty>	head,powell,china,activity,korea,curiosity,china,polity
369	<empty>,meet-36.3-1	duty,process,relation,china,united_states,association,political_unit
370	Duterte,mail,interest,right,beijing,characterize-29.2-1,feeling,political_unit,say-37.7-1,build-26.1-1	planning,detail,land
371	united_states,gas,influence,indicate-78-1-1,B52,bombers,activity,effort,china,Nansha,land,washington,characterize-29.2-1,confine-92-1,craft,traveler,military_action,abstraction,taiwan,situation,force-59-1	weekday
372	transaction,clergyman,agency,Hucheng,contiguous_location-47.8-1,Ramon,metric_linear_unit,Lopez,head,division,commerce,commercial_enterprise,vientiane,assets,laos,time_period,appear-48.1.1	Shen,statement
373	statement,corporate_executive,large_integer,Jinping,say-37.7-1,china,commit,breakdown,disagreement,discussion,self-government,maritime,curiosity,future_having-13.3,power,condition,Hague,concept	
374	assembly,build-26.1-1,concept,happening,originate,philippines,disagreement,china,south,china,body_of_water,japan,Foreign,priesthood,declare,grant,<empty>,cling-22.5,inattention,china,administrative_district,position,judgment,<empty>,approve-77,cooperate-73-2,activity	
375	happening,occurrence-48.3,sinitic,priesthood,Foreign,concern,build-26.1-1,advocate,say-37.7-1,land,Nansha,Qundao,group,skilled_worker,live,land,recognize,region	
376	action,record,curiosity,equilibrium,quality,decide,<empty>,pull_off	abstraction,natural_object,quality,small_indefinite_quantity,group
377	military_action,contractile_organ,transformation,legislature	action,place_of_business,number,clergyman,Shinzo,Abe,structure,japan,influence
378	region,condition,physical_phenomenon,escort,abstraction,path,marvel-31.3-8,consider-29.9-2,<empty>,build-26.1-1,appoint-29.1,limit-76	document,content,washington,skilled_worker,united_states,armored_vehicle,activity,activity,group_action,quality,china,united_states,fomenting,difficulty,system
379	bring-11.3,place_of_business,bring-11.3,appear-48.1.1,chase-51.6,bring-11.3,reset,tape-22.4	relation,grounder,resident,journey,touch,adversity,management,Benigno,Aquino,digit,encourage,United,administrative_district,position,beijing,corporate_executive,Rodrigo,Duterte,maneuver,statement,beijing,telephone
380	organizer,china,association,abstraction,future_having-13.3,adopt-93,tenure,association,time_period	singapore,grasping,importance,negotiation,duty,distributor,china,west
381	Duterte,become,corporate_executive,gregorian_calendar_month,tape-22.4,convert-26.6.2,better	disagreement,south,china,body_of_water
382	language,concept,activity,condition,gas,maritime,fight,become	sino,united_states,action
383	peer-30.3,<empty>,rede,rethink	united_states,activity
384	anticipation,organization,disagreement,comply,grant	mixture,disagreement,south,china,body_of_water
385	administrative_district,approve-77,future_having-13.3,accompany-51.7,get-13.5.1	ASEM,political_unit,set,curiosity,victory,group_action,political_unit
386	content,commerce,insufficiency,decide,future_having-13.3	assume
387	characterize-29.2-1,united_kingdom,europe,future_having-13.3,declare-29.4-1-1-2,word,group_action,better,improvement	certainty,time,europe
388	characterize-29.2-1,region,group_action,pocket-9.10,judgement-33	
389	military_action,disorder,rational_motive,amount,exile,structure	political_unit,area,cardinal_compass_point,encountering,confusion
390	china,person,occupy,land,ridge,Nansha,land,appoint-29.1,mix-22.1-2	south,china,body_of_water,disagreement
391	race,wish-62,continue-55.3,bring-11.3	china,united_states,talk,playing_card,act,china,conversation
392	cyberattack,orientation,document,instrumentality,<empty>	safety,expert,allege,power,Ausgrid
393	body_of_water,Liumen,Sha,Liumen,chinese_monetary_unit,liuman,doorway	"language_unit,navigational_instrument,path,performance,Chouwei,Zhubi,chinese_monetary_unit,Dongtou,Yixin,Pengbo,Ansha,language_unit,commodity,geographical_area,binary_compound,Chigua,xian,Chigua,chinese_monetary_unit,chigua,body_of_water,melon,Mogua,xian,Nanping,chinese_monetary_unit,mogua,body_of_water,cucumber"";some,language_unit,spatial_property,Niaochuan,Xian'e,chinese_monetary_unit,average,vertebrate,cord,Shuangdan,Xinyi,chinese_monetary_unit,shuangdan,implementation,body_part,rod,language_unit,object,Guogai,Zhi,Anbo,Shazhou,cooking_utensil,covering,Chenggou,Zhi,Jinghong,Dao,chenggou,language_unit"
394	assembly,Hague,extremity,judgment,kindness,philippines,south,china,body_of_water,mediation,happening,gregorian_calendar_month,australia,connection,sound,advantage,United,administrative_district,urgency,china,approve-77,concept,sharing,time_period,china,position,assembly,power,happening	
395	mediation,judgment,announce,say-37.7-1,try-61,confine-92-1,corporate_executive,Fidel,Ramos,china,beginning,discussion,south,china,body_of_water,disagreement	
396	become	south,china,body_of_water,disagreement
397	large_integer,leader,meeting,place_of_worship,military_action	south,korea,mail,sadness,weekday
398	world_organization,collection,body_of_water,pocket-9.10,concept,self-government,ferret-35.6,adjudicate,topographic_point,maritime,property,land,natural_object,ridge	judgment,determine,self-government
399	contribute-13.2-1,military_action,characterize-29.2-1-1	self-government,state,detail,taiwan,contact,fiber_bundle,china,influence,cede,taiwan,japan,written_agreement,Shimonoseki
400	telephone,assembly,south,china,body_of_water,mediation,originate,philippines,announce,grant,time_period,approve-77,confess-37.10	utterance,urgency,meeting,london,Liu,polity,point,china,grant
401	military_action,clergyman,Tomomi,Inada,say-37.7-1,weekday,washington,activity,united_states,state,steering,action,south,china,body_of_water,assurance,indefinite_quantity,military_action,binary_compound,appear-48.1.1	spokesperson,metallic_element,Kang,statement
402	united_states,japan,content,message,mail,interest,content	spokesperson,harkat-ul-mujahidin,Chunying,statement
403	china,bring-11.3,asset,united_states,violate,natural_object,commerce,social_group,concept,purchase,application,battle-36.4-1	united_states,condition,china
404	gathering,negative_stimulus,contact,technologies－for,happening,<empty>	situation,situation
405	language_unit,military_vehicle	polity,renamed,land,Xisha,Qundao,Nansha,Qundao
406	<empty>,amuse-31.1,china,united_states,abstraction,equilibrium,squander,appear-48.1.1,achieve,change_of_location,group_action	activity
407	quality,south,china,body_of_water,content,emotion,<empty>	group_action
408	safeguarding,safety,political_unit,pocket-9.10,better,national,being,overstate	interest
409	washington,foreign_policy,south,china,body_of_water,disagreement	objection,relation,china,united_states
410	natural_object,military_action	taiwan,legal_document,china
411	australia,vote,idea,gully,large_indefinite_quantity,basic_cognitive_process,region,testify,appear-48.1.1,value,china,australia,neckwear,interest,phenomenon,south,china,body_of_water,content	broadcast,time_unit
412	large_integer,military_service,polity,vessel,piece_of_cloth,abstraction,cardinal_compass_point,china,body_of_water,isle,power,tokyo,assertion,beijing,build-26.1-1,gathering,person,line	strain,shape,time_period
413	document,preparation,vehicle,armament,vietnam,Nansha,land	strain,emergence,time_period
414	corporate_executive,Rodrigo,Duterte,bring-11.3,conceptualization,precursor,Benigno,Aquino,digit,escalate	strain,south,china,body_of_water,telephone,mediation,happening,body_of_water,disagreement,china,philippines,gregorian_calendar_month,time_period,quality
415	education,avoid,interpretation,entertainment,intangible,military_service,speech_act,activity,improvement	military_action,skilled_worker,notify,equivalent
416	time_period,shame,china,self-government,sound,china,present,cooperation,say-37.7-1	
417	space,fabric,way,adult,language_unit,Zhang,Qian,BC,BC	time_period
418	attend,association,degree,clue,value,china,point,abstraction,seriousness,political_unit,production,generalization,friendliness,gravity,abstraction,person,attend	large_integer,corporate_executive,china,regular_payment,administrative_district,meeting,vietnam,laos,APEC,meeting,head_of_state,metallic_element,Keqiang,regular_payment,meeting,philippines
419	situation	political_unit,overcame,effort
420	reproductive_structure	Golden,time_period,saying
421	Duterte,administrative_district,political_unit,code,building,negotiator,future_having-13.3,attend	plastic,CBN,document,Ramos,person,safety,administrative_unit,gathering,weekday
422	gathering,united_states,head,administrative_district,sovereign,Tillerson,assets	statement,announce,Foreign,clergyman,Wang,loloish
423	association,china,body,gathering,vientiane,assets,laos	statement,clue
424	association,china,body,gathering,vientiane,assets,laos	statement,clue
