	cause	effect
280	pivot,Asia,strategy,intended,containing,China,rise	relations,experts,agree,Barack,Obama,US,president,distrust,China,United,States
281	South,China,Sea,arbitration,case,brought,Duterte,predecessor,Benigno,Aquino,III,China	comes,time,China,Philippines,ties,nosedived,low
282	comes,Trump,Administration,contradicting	US,allies,lost,patience
283	could	tensions,said,result,develop,resources
284	Pentagon,chief,played,need,US,military,moves,South,China,Sea	recognition,US,defense,secretary,stressed,push,South,China,Sea,disputes,Chinese,Foreign,Ministry,spokesman,said,Monday
285	feels,China,orientation,conform,expectations	doing
286	year,turbulence	heartening,see,South,China,Sea,issue,brought,track,dialogue,consultation
287	China,made,will,back,US,orchestrated,trade,war	US,will,realize,protectionism,confrontation,can,make,America,swallowing,fruit,seed,sowed
288	case,concerns,sovereignty	convention
289	911attacks,person,DPRK,Ministry,Foreign,Affairs,made,statement,attacks,incident,stressing,UN,member,state,North,Korea,opposed,forms,terrorism,stance,will,remain	mentioning
290	NPC,Standing,Committee,finished,examination,statutes,interpretations,competency,transferred,suggestions,documents,competency,state,organs,handling	notified,suggestion,makers,conclusions
291	helped,create,provoked,disputes,waters	lays,bare,hypocrisy,US,allies
292	comments,superpower,ally,Philippines,remains,US,presence,region,committed,defense,agreements	should,soothing,news,US
293	Shinzo,Abe,administration,refusal,face,history,actions	will,worsen,relations,Beijing,Tokyo
294	time	sides,abandoned,antagonism,communicated,spirit,pursue,cooperation,benefit
295	deployment,South,China,Sea,disputes	role,becomes
296	ruling	binding,force,added
297	China,People,Liberation,Army,celebrated,birthday	Japan,issued,defense,paper,day
298	World,War,II,promise,peace	Japan,owes,development,decades
299	Obama,administration,rebalancing,Asia,Pacific,strategy,deployment,THAAD,makes,feel	Japan,ROK,ties,improving,deepening,trust
300	Foreign,Ministers,meeting,G7,countries,visit,Peace,Memorial,Museum	Foreign,Minister,Fumio,Kishida,gestures,press,conference,International,Media,Center,Hiroshima,Japan,April
301	meeting,resistance,participating,countries	Prime,Minister,Shinzo,Abe,attempted,include,South,China,Sea,topic,discussion,Asia,Europe,Meeting,mid,-,July,failed
302	arbitration,parties,want,participate	can,arbitration,side,says,participate
303	go,negotiation,details,court,know,part,problem	base,beginning,dialogue,negotiation,dialogue
304	US,President,Donald,Trump,recommended,host,mediator,arbitrator,South,China,Sea,disputes,Xi,Jinping,secretary,Communist,Party,China,Central,Committee,counterpart,reached,consensus,managing,neighbors,disputes	hours
305	arbitration,parties,want,participate	Keyuan,Zou,Harris,Professor,International,Law,University,Central,LancashireYou,can,arbitration,side,says,participate
306	bell,ringing,event,Seoul,Monday	Kim,Bok,Dong,forced,serve,sex,slave,troops,World,War,II,speaks,media
307	assuming,throne	King,Abdullah,Saudi,Arabia,gave,visit,China
308	North,Korea,announced,will,launch,missile,ICBM,determined,supreme,headquarters	week,hearings,Tillerson,Mattis,came,days
309	North,Korea,announced,will,launch,missile,ICBM,determined,supreme,headquarters	week,hearings,Tillerson,Mattis,came,days
310	meeting	Li,told,Abe,sides,should,manage,control,differences,said,Japan,country,involved,South,China,Sea,dispute,according,news,release,side
311	talks,Canberra	Li,visit,Australia,Wednesday,Sunday,made,comment,press,conference,counterpart,Malcolm,Turnbull
312	tribunal,made,ruling,rights,decide,issues,relating,sovereignty,award,follow,procedure,negotiation,ruling,exercise,procedure	Liu,said,can,accepted
313	years,relations	Liu,said,Thursday,Beijing,speaks,Duterte,stance,calling,turnaround
314	officials,said,United,Kingdom,will,dispatch,vessels,region	Lu,spoke
315	violating,provision,oath,taking,responsibility,taking,oath,contravening,oath	Make,Interpretation,Article,Hong,Kong,Basic,LawIn,light,advocacy,Hong,Kong,independence,members,Legislative,Council,Hong,Kong,Special,Administrative,Region,taking,oaths,words,acts,insulting,country,nation,disputes,arising,Legislative,Council,society,Hong,Kong,whole,NPC,Standing,Committee,exercised,power,conferred,Constitution,Basic,Law,Hong,Kong,adopted,interpretation,Article,Basic,Law,Hong,Kong,Special,Administrative,Region,making,provision,article,swear,uphold,Basic,Law,Hong,Kong,Special,Administrative,Region,People,Republic,China,swear,allegiance,Hong,Kong,Special,Administrative,Region,People,Republic,China,content,must,included,oath,prescribed,article,requirement,qualification,entering,contest,taking,post,listed,article,makes,procedure,content,must,abided,taking,oath,post,makes,consequence,losing,qualification,taking,post
316	thousands,miles,Australia,China,can,pose,threat,country	can,understand,China,threat,theory,hyped,time,time,Australia
317	World,War,II	ascribed,Australia,distrust,China,country,alliance,US,forged
318	party,ability,order,state,pay,sums,money,disconcerting,nations	nations,participate,ISDS,framework
319	incident,April,US,spy,plane,collided,mid,-,air,fighter,jet,Hainan,Island,resulting,death,pilot	Maritime,studiesThe,Princeton,PhD,graduate,got,job,US,Naval,War,College
320	Senate,nomination,hearing,US,should,adhere,China,policy	Media,reports,revealed,US,Secretary,State,Rex,Tillerson,said,written,answers,questions
321	provocations,US,Japan,countries,South,China,Sea,region	exercises,Zhao,said,China,want,conduct,scale,drills,authorized
322	provocations,US,Japan,countries,South,China,Sea,region	exercises,Zhao,says,adding,China,want,conduct,scale,drills,authorized
323	views,case,sovereignty,dispute,South,China,Sea	asserts,United,Nations,Convention,Law,Sea,can,used,resolve
324	China,must,deepen,reforms,achieve,promised,goal,society,resistance,interest,groups,must,overcome	
325	end,Second,World,War	Nanhai,Zhudao,recognized,part,China,territory,community
326	test,test,launching,missiles,Democratic,People,Republic,Korea(DPRK,Paal,said,efforts,should,made,restart,talks	Need,term,perspectives,peninsula,Asked,comment,China,US,cooperation,containing,rising,tensions,peninsula
327	will,undercut,influence,East,Asia	powers,opposed,establishment,trade,zone,China,Japan,Republic,Korea
328	North,Korea,recognized,needed,China,cooperation,should,respect,neighbor,opinion	could,say,China,proposal,dialogue
329	company,submitted,application,Foreign,Investment,Review,Board,Australia,regarding,desire	Northern,Territory,Chief,Minister,Adam,Giles,said,criticisms,aimed,instilling,fear,Australians,China
330	policies,resources,said,sidelines,think,tank,seminar,South,China,Sea,held,Singapore	
331	Xi,expressed,gratitude,reception,party,government,people	Noting,state,visit,Vietnam
332	exits,European,Union,United,Kingdom,seize,opportunity,can,Washington,books	eyeing,US,lifeline
333	tensions,peninsula	need,China,continue,working,peninsula,peace,making,efforts,restore,cooperation,DPRK,suffered
334	October,’s,goal,make,Chinese,New,Year,can,achieve	
335	Tokyo,pressed,Beijing,accept,Tuesday,ruling,arbitration,case,South,China,Sea,dispute,initiated,Philippines	Observers,noted,Li,made,comments
336	years,chaos,followed,Manila,initiation,case,led,ruling,Arbitral,Tribunal,Hague	Observers,said,South,China,Sea,situation,track
337	years,chaos,followed,Manila,initiation,case,led,ruling,tribunal,Hague	Observers,say,South,China,Sea,situation,track
338	enters,White,House	importance,will,Trump,words,deeds
339	tourist,handed,passport,border,staff,passport,control,Tan,Son,Nhat,International,Airport	language,written,tourist,passport,page
340	National,Congress,Communist,Party,China,offers,opportunity,China,US,iron,differences,inject,vigor,cooperation,momentum,should,stalled,frictions,trade,issues	nation,nation,level,Trump,visit,China,will,make,head,state,visit,country
341	US,warship,entered,waters,islands,reefs,South,China,Sea	Friday,Ministry,National,Defense,expressed,indignation,issued,warning
342	years,growth,factors,including,decision,making,process,market	hand,Japan,economy,encountered,difficulties
343	immigration,officials,handed,Tan,Son,Nhat,International,Airport,Ho,Chi,Minh,City	Saturday,woman,surnamed,Zhong,Guangzhou,Guangdong,province,found,words,scribbled,passport
344	election,office,president,may,imply,policy,plans,administration,intends,adopt	hand,repeating,sentiments
345	will,side,wants,escalate,tensions,South,China,Sea	issued,ruling,will,serve,barometer,China,US,relations,lead,conflict
346	deal,neighborhood	geography
347		keeping,China,maintaining,superiority,interests,participating,states
348	South,China,Sea,arbitration,case	Philippines,U,-,turn,China
349	meeting,members,China,leadership	Phuc,headed,Hong,Kong,Sept
350	attending,opening,ceremony,China,ASEAN,Expo,Sunday,Nanning,capital,Guangxi,Zhuang,region	Phuc,arrived,Beijing,Monday
351	leadership,reshuffle,Vietnam,July	Phuc,leading,delegation,members,Beijing,day,trip,China,Prime,Minister
352	leadership,reshuffle,Vietnam,July	Phuc,leading,delegation,members,Beijing,day,trip,China,prime,minister
353	meeting,members,China,leadership,Liu,said	Phuc,will,head,Hong,Kong,Wednesday
354	creation,ASEM,mechanism,leaders,attending,summit,charted,course,cooperation,decade,promotion,interconnectivity	cooperationTwenty,years
355	China,Cabinet,took,office,March	Premier,Li,Keqiang,visit,Indonesia,trip
356	will,destabilize,balance,East,Asia,favor,United,States	Protests,organized,Lotte,Group,business,conglomerate,headquartered,South,Korea,accepted,plot,land,exchange,Skyhill,Golf,Course,Seongju,US,Terminal,High,Altitude,Area,Defense,system,will,deployed,move,China,opposes
357	president,appointed,envoy,China	Putting,ruling,South,China,Sea,should,premise,talks,China,Philippines,experts,said
358	PZ,Disputes,South,China,Sea	Sino,-Vietnamese
359	Saudi,Arabia,execution,cleric,sparked,attacks,posts,Iran,move,show,solidarity,kingdom	Qatar,pulled,ambassador,year
360	talks	Ramos,met,Hong,Kong,Fu,Ying,affairs,chief,China,legislature,Wu,Shicun,president,China,National,Institute,South,China,Seas,Studies,think,tank,according,statement,released
361	July,ruling,Hague,based,arbitration,tribunal,case,brought,Philippines,issues,regarding,disputes,China,South,China,Sea	Richardson,visit,China,came,days
362	differences,candidates	Roy,believes,predict,US,policy,administration
363	G20,summit,China	Russia,supports,China,stance,South,China,Sea,issue,opposes,party,interference,Putin,told,news,conference
364	resonates,malfunctions,democracy	Sanders,socialism,proved
365	South,China,Sea,arbitration,strive,time,stability,waters	China,should,cement,achievements,made
366	pivot,strategy,based,concept,East,Asia,emerging,center,world	should,point,US,policy
367	channels,negotiation,comes,arbitration,dispute,settlement,mechanism,Convention,China,Philippines,had,negotiations,procedure,tribunal,intervene,Liu,said	
368	consideration,decided,accept,U.	sent,Secretary,Powell,China,help,denuclearized,Korea,interest,China,government
369	could	play,role,shaping,relationships,China,US,ASEAN,nations
370	Duterte,expressed,concern,access,Beijing,considered,affection,countries	said,arrangement,regarding,island,made
371	US,air,force,confirmed,B52,bombers,conducted,exercises,China,Nansha,Islands,Washington,considering,sending,aircraft,carrier,battle,group,Taiwan,Straits	speaking,Wednesday
372	Commerce,Minister,Gao,Hucheng,met,Ramon,M,Lopez,secretary,Department,Trade,Industry,Vientiane,capital,Laos,month	Shen,comments,came
373	announcement,President,Xi,Jinping,reiterated,China,committed,resolving,disputes,negotiations,said,sovereignty,maritime,interests,will,influenced,circumstances,Hague,ruling	
374	international,tribunal,made,ruling,case,initiated,Philippines,dispute,China,South,China,Sea,Japan,Foreign,Ministry,declared,award,should,binding,disregard,China,stated,stance,ruling,would,accept,participate,process	
375	Incident,happened,Chinese,Ministry,Foreign,Affairs,made,spokesperson,referring,islands,Nansha,Qundao,people,fishermen,live,islands,recognized,territory	
376	taking,account,interests,balance,power	relations,world,powers,decided,handful,people,should,managed
377	reclaiming,right,defense,muscling,revisions,parliament	taking,office,Prime,Minister,Shinzo,Abe,building,Japan,forces
378	sides,need,energy,guide,relations,direction	report,reflects,ideas,Washington,officials,US,think,tanks,should,make,efforts,help,promote,cooperation,reduce,differences,China,US,fomenting,trouble,economies
379	took,office	relationship,roller,coaster,ride,hitting,nadir,administration,Benigno,Aquino,III,encouraged,United,States,took,stance,Beijing,coming,track,President,Rodrigo,Duterte,took,steps,answer,Beijing,call,reset,ties
380	coordinator,China,ASEAN,relations,will,assume,presidency,ASEAN,year	Singapore,holds,significance,diplomacy,role,middleman,China,West
381	Duterte,became,president,June	ties,soured,disputes,South,China,Sea,began,improving
382	signing,rules,behavior,safety,air,maritime,encounters	Sino,US,interactions,become
383	appears	should,advised,rethink,US,practice
384	hopes,parties,dispute,comply,award	solution,dispute,South,China,Sea
385	states	ASEM,countries,understand,core,interests,will,lead,win,win,integration,nations
386	issue,trade,deficit,resolved	assume,will
387	know,UK,Europe,will,find,forms,cooperation,improve,development	confidence,future,Europe
388	see,areas,cooperation,can,pursue	
389	wars,upheavals,reasons,number,refugees,crossed	countries,Middle,East,encountering,chaos
390	China,neighbors,occupied,islands,reefs,Nansha,Islands	called,South,China,Sea,disputes,added
391	campaign	China,US,dialogues,expected,continue,Trump,taken,actions,China,talk
392	cyberattacks,views,reported,media	security,analysts,alleged,Chinese,controlled,Ausgrid,could,shut
393	waterways,Liumen,Sha,Liumen,Jiao,liumen,means,doorways	"named,compass,directions,renditions,Chouwei,Zhubi,Jiao,Dongtou,Yixin,Pengbo,Ansha,named,products,surrounding,waters,Chigua,Xian,Chigua,Jiao,chigua,means,red,sea,cucumber,Mogua,Xian,Nanping,Jiao,mogua,means,sea,cucumber"";some,named,shapes,Niaochuan,Xian'e,Jiao,means,bird,string,Shuangdan,Xinyi,Jiao,shuangdan,means,shoulder,poles,named,objects,Guogai,Zhi,Anbo,Shazhou,means,pot,cover,Chenggou,Zhi,Jinghong,Dao,chenggou,means,named"
394	tribunal,Hague,handed,ruling,favor,Philippines,South,China,Sea,arbitration,case,July,Australia,joined,chorus,led,United,States,press,China,accept,ruling,giving,year,China,stance,tribunal,jurisdiction,case	
395	arbitration,ruling,announced,said,intended,send,president,Fidel,Ramos,China,start,negotiations,South,China,Sea,disputes	
396		South,China,Sea,disputes,became
397	dozens,lawmakers,visited,shrine,war	South,Korea,expressed,regret,Monday
398	UN,Law,Sea,can,rule,sovereignty,seek,adjudicate,zones,maritime,features,islands,rocks,reefs	ruling,determine,sovereignty
399	losing,Japanese,War	Sovereignty,integrity,regarding,Taiwan,touches,nerve,Chinese,remember,China,forced,cede,Taiwan,Japan,Treaty,Shimonoseki
400	called,tribunal,South,China,Sea,arbitration,initiated,Philippines,announced,award,week	Speaking,press,conference,London,Liu,said,government,reaffirmed,position,China,accept,recognize,award
401	Defense,Minister,Tomomi,Inada,said,Thursday,Washington,supports,US,freedom,navigation,operations,South,China,Sea,vowed,increase,engagement,waters	Spokesman,Lu,Kang,comments,came
402	US,Japan,issued,statement,expressing,concerns,issue	Spokeswoman,Hua,Chunying,commented
403	China,taken,advantage,US,violating,World,Trade,Organization,rules,stealing,technologies	argue,US,need,China
404	community,worried,impact,technologies－for,instance,could	crisis,crisis
405	names,warships	government,renamed,islands,Xisha,Qundao,Nansha,Qundao
406	could,throw,China,US,relations,balance,squander,results,achieved,advancing,cooperation	practice
407	differences,South,China,Sea,issue,fear,could	conflict
408	safeguarding,security,country,can,improve,citizens,lives	concerns,exaggerated
409	Washington,interference,South,China,Sea,disputes	protests,relationship,China,US
410	Second,World,War	Taiwan,returned,China
411	Australia,elections,program,drew,lot,attention,sides,testifying,rising,importance,China,Australia,ties,concerns,effect,South,China,Sea,issue	Telecast,days
412	dozen,coastguard,government,ships,sailed,group,East,China,Sea,islets,controlled,Tokyo,claimed,Beijing,making,meeting,leaders,sidelines,G20,summit	Tension,flared,month
413	reported,deployment,rocket,launchers,Vietnam,Nansha,Islands	Tension,rose,month
414	President,Rodrigo,Duterte,took,approach,predecessor,Benigno,Aquino,III	Tensions,intensified,South,China,Sea,called,arbitration,case,sea,dispute,China,Philippines,July,year,eased
415	grounding,frigate,avoid,misunderstanding,show,goodwill,Navy,offered,help,recovery	defense,officials,notified,counterparts
416	century,humiliation,China,sovereignty,trampled,China,today,compromise,rights	said
417	opening,Silk,Road,man,named,Zhang,Qian,BC,BC	millennium
418	attending,ASEAN,summit,signs,importance,China,places,relations,commitment,country,making,principles,amity,sincerity,relations,neighbors	Xi,president,China,paying,state,visits,Vietnam,Laos,attending,APEC,forum,Premier,Li,Keqiang,paying,visit,Philippines
419	crisis	countries,overcame,difficulties
420	fruits	Golden,Era,slogan
421	Duterte,State,Nation,address,House,Representatives	ABS,CBN,reported,Ramos,will,attend,National,Security,Council,meeting,Monday
422	meeting,US,Secretary,State,Rex,Tillerson,capital	agreement,announced,Foreign,Minister,Wang,Yi
423	ASEAN,China,Leaders,Meeting,Vientiane,capital,Laos	agreements,signed
424	ASEAN,China,Leaders,Meeting,Vientiane,capital,Laos	agreements,signed
425	tribunal,Hague,issued,award,Tuesday,arbitration,case,initiated,Philippines,China,regarding,disputes,South,China,Sea	announcement,came
426	tribunal,jurisdiction,South,China,Sea,dispute,Beijing,Manila	ruling
427	meeting,Foreign,Minister,Wang,Yi,counterparts,members,bloc,indicate,relationships,withstand,discord,interference	ASEAN,communiqu,�,�,statement,issued
428	completing,Rim,Pacific,RIMPAC,exercises,world,war,game,held,waters,Hawaiian,Islands,Southern,California	Benfold,visit,comes,days,PLA,Navy,taskforce,left,Pearl,Harbor,Friday
429	dispute,Diaoyu,Islands,East,China,Sea	boycott,call,protests,China,Japan,relations,soured
430	case,may	prosecution,according,news,release,Hong,Kong,government
431	President,Rodrigo,Duterte,said,week,Manila,Beijing,working,oil,exploration,deal,involves,gas,oil	comments,came
432	ASEAN,foreign,ministers,meeting,Vientiane,Laos,shows,sides,want,work,stability,prosperity	communiqu,�,�,issued,Monday
433	concern,lies,rising,trust,deficit,field,security,may	misjudgment,sides,increase,possibility,confrontation,conflict
434	border,war	delay,sparked,debate,China,Vietnam,ties,decades
435	half,hour,East,Asia,Summit,held,Vientiane	diplomat,made,remarks
436	perceives,called,freedom,navigation,operations,US,strategy,check,China,influence,region	Donald,Trump,administration,continuing,practice
437	Duterte,attends,forum,Zhou,predicted	foundation,ties,strengthened
438	Arbitral,Tribunal,appointed,Permanent,Court,Arbitration,Hague,Tuesday,ruled,favor,Philippines,South,China,Sea,arbitration,case,filed,island,country,China	event,international,forum,held
439	Trump,advisers,concluded,costs,doing,could,bring,costs,benefits	experts,agreed,Trump,affirmation,China,policy,bedrock,China,US,ties,paved,way,phone,call,came
440	year,hiatus,released,Monday,afternoon	date,ministers,meeting,gathering,talks,resumed,March
441	Arbitral,Tribunal,appointed,Permanent,Court,Arbitration,Hague,announced,Tuesday,China,title,South,China,Sea	chapter,whitepaper,released
442	Japan,rise,would,would,import,oil,export,products,waters	freedom,navigation,overflight,South,China,Sea,excuse,Japan,used,explain,concerns,disputes
443	crisis,came	shock,China,changing,preconceptions,view
444	ruling,tribunal,initiated,case,South,China,Sea,pointed,China,continue,resolve,disputes,negotiation,consultation,states,concerned,basis,respecting,facts,accordance,law	government,statement,issued
445	entered,waters,China,Nasha,Islands,permission	guided,missile,destroyer,USS,Mustin,warned
446	tribunal,lack,jurisdiction,case	disputed,arbitration,initiated,administration,president,Benigno,Aquino,III,January,criticized,law,experts,scholars,world
447	taking,office,January,implement,agreements,countries,signed,Duterte,visit,October	ambassador,said,priority
448	appeal,extends,borders,Iraq,Syria	IS,become,foe,US,success,region
449	British,Royal,Navy,warship,HMS,Albion,sailed,China,Xisha,Islands,South,China,Sea,Britain,claimed,freedom,navigation,operation,triggering,protest,China,violating,sovereignty	move,came,couple,weeks
450	meeting,capital,Foreign,Minister,Wang,Yi,counterparts,members,Association,Southeast,Asian,Nations	statement,issued
451	puts,makes,procedures	interpretation,marks,step
452	see,areas,interest	point,emphasis,connectivity
453	can,harm,ties	months,Obama,administration,should,marked,tensions,Beijing,Washington,South,China,Sea
454	implemented,rebalancing,Asia,Pacific,strategy	maritime,disputes,should,issue,China,ASEAN,United,States,trying,internationalize,disputes
455	President,Xi,Jinping,Philippine,President,Rodrigo,Duterte,reaffirmed,would,solve,South,China,Sea,issue,dialogue,negotiations,Monday,Duterte,attended,Belt,Road,Forum,International,Cooperation,Beijing	meeting,days
456	World,War,II,had,impact,China,development	miracle,Japan,revival
457	US,Trade,Representative,proposed,levy,percent,tariffs,goods	move,came,days
458	US,sent,aircraft,carrier,USS,Theodore,Roosevelt,South,China,Sea	news,came,month
459	President,Rodrigo,Duterte,put,nomination,September	Philippine,Congress,confirmed,Jose,Santiago,Chito,Santa,Romana,ambassador,China,Wednesday
460	will,go,war,China,issue,scholar,said,Monday	Philippines,should,rely,United,States,resolve,South,China,Sea,disputes
461	passing,Bashi,Channel,Miyako,Strait	PLA,air,force,conducted,combat,air,patrol,South,China,Sea,conducted,training,exercises
462	US,attitude,China,system	differences,resolve
463	China,became,world,economy,years	US,administration,Barack,Obama,embarked,rebalancing,Asia,strategy
464	nature,cases,handled,PCA,number,cases,dealt	public,International,Court,Justice,Permanent,Court,Arbitration
465	amount,Philippines,country	questions,drawn,attention,community
466	disputes,South,China,Sea	sovereignty,delimitation
467	impact,US,pivot,Asiahas,peace,stability	reason,Duterte,distanced,country,US,alliance
468	failure,implement,agreements,suspension,negotiations	reason,results,achieved,date
469	served,interests,United,States,region	reason,panel,dared,continue,existence,make,ruling,challenge,integrity,China,member,UN,Security,Council,China,repeated,announcement,position,accepting,ruling
470	Foreign,Secretary,Perfecto,Yasay,said,Tuesday,talks,China,disputes,start,Beijing,refusal,accept,tribunal,ruling,South,China,Sea	remarks,came
471	military,ended,defeating,enemy	report,claim,China,will,suffer,losses,US,sounds
472	ruling,announced	ruling,stillbirth,predestined,Beijing,stance,participation,acceptance,stated,beginning,reiterated,July
473	ruling,announced	ruling,stillbirth,predestined,Beijing,stance,participation,acceptance,stated,beginning,reiterated,Tuesday
474	islands,occupied,countries,including,Japan,would,fall,category	expert,questioned,sense,tribunal,ruling,saying,Taiping,Island,island,said,ruling,world,map,will,revised
475	government,guaranteed,missiles,would,used,Yemen,would,buy	ship,released
476	year,efforts,China,ASEAN,continue,enjoy,relationship	situation,South,China,Sea,stabilized
477	fanfare,seem,heading,direction,settlement,negotiations	South,China,Sea,disputes
478	instigations,countries,region,United,States,Japan,create,divisions,bloc,China	South,China,Sea,disputes,involve,China,ASEAN,members,existed,decades,approached,boiling,point,year
479	ROK,decided,allow,US,deploy,Terminal,High,Altitude,Area,Defense,system,soil	standoff,Democratic,People,Republic,Korea,Republic,Korea,intensified,Seoul,move,deepen,relations,Washington
480	absence,exclusion,procedure,States,exercise,rights,exclude,procedures,agreement,Southern,Bluefin,Tuna,arbitration,Award,Jurisdiction,Admissibility,para	term,indicates,negotiation,means,chosen,States,resolving,disputes,means,including,arbitration,excluded
481	kind,held,implies,differences,issues,haunting,relations,China,Japan,South,Korea	process,nailing,ministers,meeting,years
482	countries,shared,interests,underlying,disparities,addressed,could	confrontations
483	Japan,defense,ministers,met,Washington,Thursday,US,secretaries,state,defense	countries,released,statement
484	countries,should,take	mobilize,international,coordination,collaboration,improve,governance,keep,pace,trend,globalization
485	Premier,Li,Keqiang,concluded,visit,Cambodia	sides,issued,call,communique,released
486	Arbitral,Tribunal,appointed,Permanent,Court,Arbitration,Hague,ruled,Tuesday,favor,Philippines,South,China,Sea,arbitration,case,filed,China	day,event,international,forum,held
487	flexing,muscles,will,good,resolution,disputes,said,Ruan,Zongze,vice,-,president,China,Institute,International,Studies	US,defense,secretary,remarks,resolving,South,China,Sea,disputes,diplomacy,should,encouraged
488	wants,blackmail,China,accept,ruling	US,sending,gun,boats,carriers,South,China,Sea,enforce,called,freedom,navigation,South,China,Sea
489	Brazil	US,soybean,exporter,China
490	Bannon,confession,solution,Korean,Peninsula,crisis,compromised,Donald,Trump,claim,US,would,release,fire,fury,Democratic,People,Republic,Korea	US,president,may,liked
491	sides,announced,would,resolve,dispute,South,China,Sea,dialogue	US,ship,entered,Xisha,Islands,waters,time,President,Rodrigo,Duterte,paying,state,visit,China,observers,believed,would,improve,Beijing,Manila,relations
492	diplomat,set,month,voyage,South,Pacific,test,navigation,abilities,equipment	vessel,named
493	Beijing,rejected,July,arbitration,ruling,case,brought,Philippines,disputes,China	visit,came,tensions,South,China,Sea
494	Japan,security,legislation,went,effect,March,played,called,zone,situations,peacetime,contingencies,territory,sovereignty,interests	paper
495	Xi,Trump,meeting	opportunity,authorities,sides,clear,misunderstandings,maintain,interaction
496	wants,benefits,Beijing	mindedness,leads,think,Manila,backing,South,China,Sea,position,distancing,Washington,security,alliance,US
497	ministers,meeting,award,Hague,tribunal,case,initiated,Philippines,China,let,support	trick,confusing,right,wrong,can,cover,fact,bloc,rejected,trio,proposal,mention,statement
498	ruling,arbitration,binding	reason,China
499	doubt,called,freedom,navigation,activities,US,warships,miles,Nansha,Islands,China,permission,cause,security,concerns,China,could	accidents,would,go,spirit,memorandums,understanding,militaries,China,US,notification,events,air,sea,encounters
500	countries,move,South,China,Sea,issue	denying,call,boycott,Philippine,US,goods,related,arbitration,case
501	Beijing,hosted,Belt,Road,Forum,International,Cooperation,prove,ASEAN,priority,China,diplomacy	interactions,exchanges,China,members,bloc,conducted,days
502	pledged,expand,deepen,cooperation,reiterated,attach,importance,standing,friendship,level,exchanges,term,development	cooperation,dealing,disputes
503	calculations	exaggerate,South,China,Sea,issue
504	Prime,Minister,Tony,Abbott,ignored,US,warning,March,joined,Asian,Infrastructure,Investment,Bank	expressed,concern
505	award,made,arbitration,case,initiated,Philippines	come,time,disputes,South,China,Sea,intensified
506	China,dispute,India,spat,Japan,Diaoyu,Islands,East,China,Sea	hope,China,alliance,could,forged,world,nation,economy
507	sail,East,China,South,China,Sea,according,reports,Philippine,Sea	Western,Pacific
508	Seoul,allowed,Washington,deploy,Terminal,High,Altitude,Area,Defense,system,ROK,soil,Beijing,opposed	Things,started,getting
509	economies,remain,trade,China,playing,role,boosting,economy	
510	sovereignty,concerned,tribunal,designed,settle,disputes	
511	Japan,done,utmost,stir,trouble,China,neighbors,South,China,Sea	evidenced,timing,accusations,come
512	adhere,number,treaties	comes,United,States
513	adhere,number,treaties	comes,United,States
514	marching,means,sliding,relationship,President,Xi,Jinping,put	worrying
515	Republican,Trump,defeated,secretary,state,Hillary,Clinton,US,election	question,people,minds,day
516		
517	coming,Manila,Beijing,trip	Duterte,clarified,saying,separation,policy
518	while	school,wanted,work,Middle,East,Russia,Sept,attack,Goldstein,found,way,China,studies
519	threat,North,Korea	must,resolved,agreement
520	history,rising,powers,tended,benefit,prods	shown,willingness,reduce,momentum,conflict
521	Philippines,leadership,initiated,arbitration,China	Ties,Beijing,Manila,suffered
522	government,led,Benigno,Aquino,sought,party,compulsory,proceedings,China	Ties,countries,became,deadlocked
523	tasting,fruit,seed,sown	Title,Trump,will,realize
524	South,China,Sea,issue,put,test	continue,maintain,momentum,interactions,Turnbull,needs
525	prevent,Pyongyang,mastering,missile,technology,becoming,striking,US,homeland,experts,suggest,Washington,launch,strikes,DPRK,would	crisis
526	decadelong,suspension,called,efforts,speed,development,Asia,Europe,market	end,premier,said,expected,ASEM,Economic,Ministers,Meeting,would,resume,year
527	strengthen,defense,forces	win,respect,neighbors,Japan,face,war,history,show,maturity,resolve,burning,issues,Korean,Peninsula,issue,disputes,East,China,Sea,citing,excuse
528	graduating,Keio,University,working,company	Chinese,then-25-year,Zhong,Siyao,founded,company
529	seeking,maximize,country,gains,turbulence	Tokyo,Washington,worry,Duterte,realignment,statements
530	businessman,Trump,ideas,trade,election,campaign,vowed,act,China	Trade,frictions,expected,increase
531	congress,shows,level,attention,CPC,Xi,advancing,Vietnam,China,relations	Trong,said,fact,Xi,trip
532	ruling,announced,went,back,talks,China	Duterte,backpedaled,hardline,rhetoric,China,inauguration,president
533	winning,US,presidency,November,telling,US,media,December,China,policy,negotiation	Trump,aggravated,China,taking,call,Taiwan,leader,Tsai,Ing,wen
534	talks,visiting,Prime,Minister,Shinzo,Abe,White,House	Trump,made,remarks,press,conference
535	Pentagon,revealed,defense,strategy,Friday	US,Defense,Secretary,Jim,Mattis,trip,Asia,caught,attention,comes,days
536	press,conference,White,House,Washington,D.	US,President,Donald,Trump,R,visiting,Prime,Minister,Shinzo,Abe,walk,board,Marine,One,departing,Andrews,Air,Force,Base,route,West,Palm,Beach,Florida
537	Party,congress,Beijing,will,trip,outcomes,trade,Korean,Peninsula,issues,China,envoy,Washington,said,Monday	US,President,Donald,Trump,state,visit,China,coming,moment
